Op	InType	OutType	Template	DesignStat	DPD	TWDFR
div_by_8192	unsigned64	unsigned64	sync	impl	0,505	-0,019
div_by_8192	signed16	signed16	sync	impl	1,555	-0,149
div_by_8192	signed32	signed32	sync	impl	2,135	-0,037
div_by_8192	signed64	signed64	sync	impl	2,449	-0,096
dotnet_shift_left_by_14	unsigned64	unsigned64	sync	impl	0,388	-0,019
dotnet_shift_left_by_14	signed64	signed64	sync	impl	0,388	-0,019
dotnet_shift_right_by_14	unsigned64	unsigned64	sync	impl	0,505	-0,019
dotnet_shift_right_by_14	signed64	signed64	sync	impl	0,530	-0,047
dotnet_shift_left_by_14	unsigned32	unsigned32	sync	impl	0,505	-0,019
dotnet_shift_left_by_14	signed32	signed32	sync	impl	0,505	-0,019
dotnet_shift_right_by_14	unsigned32	unsigned32	sync	impl	0,388	-0,019
dotnet_shift_right_by_14	signed32	signed32	sync	impl	1,023	-0,019
mul_by_16384	unsigned16	unsigned16	sync	impl	1,176	-0,019
mul_by_16384	unsigned32	unsigned32	sync	impl	0,505	-0,019
mul_by_16384	unsigned64	unsigned64	sync	impl	0,388	-0,019
mul_by_16384	signed16	signed16	sync	impl	1,176	-0,019
mul_by_16384	signed32	signed32	sync	impl	0,505	-0,019
mul_by_16384	signed64	signed64	sync	impl	0,388	-0,019
div_by_16384	unsigned16	unsigned16	sync	impl	1,176	-0,019
div_by_16384	unsigned32	unsigned32	sync	impl	0,388	-0,019
div_by_16384	unsigned64	unsigned64	sync	impl	0,505	-0,019
div_by_16384	signed16	signed16	sync	impl	1,217	-0,060
div_by_16384	signed32	signed32	sync	impl	2,633	-0,099
div_by_16384	signed64	signed64	sync	impl	2,627	-0,113
dotnet_shift_left_by_15	unsigned64	unsigned64	sync	impl	0,388	-0,019
dotnet_shift_left_by_15	signed64	signed64	sync	impl	0,388	-0,019
dotnet_shift_right_by_15	unsigned64	unsigned64	sync	impl	0,505	-0,019
dotnet_shift_right_by_15	signed64	signed64	sync	impl	1,122	-0,082
dotnet_shift_left_by_15	unsigned32	unsigned32	sync	impl	0,388	-0,019
dotnet_shift_left_by_15	signed32	signed32	sync	impl	0,388	-0,019
dotnet_shift_right_by_15	unsigned32	unsigned32	sync	impl	0,388	-0,019
dotnet_shift_right_by_15	signed32	signed32	sync	impl	1,217	-0,081
mul_by_32768	unsigned16	unsigned16	sync	impl	1,176	-0,019
mul_by_32768	unsigned32	unsigned32	sync	impl	0,388	-0,019
mul_by_32768	unsigned64	unsigned64	sync	impl	0,388	-0,019
mul_by_32768	signed32	signed32	sync	impl	0,388	-0,019
mul_by_32768	signed64	signed64	sync	impl	0,388	-0,019
div_by_32768	unsigned16	unsigned16	sync	impl	1,175	-0,019
div_by_32768	unsigned32	unsigned32	sync	impl	0,388	-0,019
div_by_32768	unsigned64	unsigned64	sync	impl	0,505	-0,019
div_by_32768	signed32	signed32	sync	impl	2,378	-0,096
div_by_32768	signed64	signed64	sync	impl	2,537	-0,038
dotnet_shift_left_by_16	unsigned64	unsigned64	sync	impl	0,388	-0,019
dotnet_shift_left_by_16	signed64	signed64	sync	impl	0,388	-0,019
dotnet_shift_right_by_16	unsigned64	unsigned64	sync	impl	0,454	-0,019
dotnet_shift_right_by_16	signed64	signed64	sync	impl	0,727	-0,019
dotnet_shift_left_by_16	unsigned32	unsigned32	sync	impl	0,388	-0,019
dotnet_shift_left_by_16	signed32	signed32	sync	impl	0,388	-0,019
dotnet_shift_right_by_16	unsigned32	unsigned32	sync	impl	0,388	-0,019
dotnet_shift_right_by_16	signed32	signed32	sync	impl	0,871	-0,088
mul_by_65536	unsigned32	unsigned32	sync	impl	0,388	-0,019
mul_by_65536	unsigned64	unsigned64	sync	impl	0,388	-0,019
