Op	InType	OutType	Template	DesignStat	DPD	TWDFR
mul_by_16384	signed64	signed64	sync	impl	0,387	-0,042
div_by_16384	unsigned16	unsigned16	sync	impl	0,353	-0,041
div_by_16384	unsigned32	unsigned32	sync	impl	0,368	-0,019
div_by_16384	unsigned64	unsigned64	sync	impl	0,411	-0,135
div_by_16384	signed16	signed16	sync	impl	1,352	-0,086
div_by_16384	signed32	signed32	sync	impl	2,494	-0,101
div_by_16384	signed64	signed64	sync	impl	2,504	-0,073
dotnet_shift_left_by_15	unsigned64	unsigned64	sync	impl	0,394	-0,135
dotnet_shift_left_by_15	signed64	signed64	sync	impl	0,394	-0,135
dotnet_shift_right_by_15	unsigned64	unsigned64	sync	impl	0,388	-0,019
dotnet_shift_right_by_15	signed64	signed64	sync	impl	0,691	-0,120
dotnet_shift_left_by_15	unsigned32	unsigned32	sync	impl	0,388	-0,019
dotnet_shift_left_by_15	signed32	signed32	sync	impl	0,388	-0,019
dotnet_shift_right_by_15	unsigned32	unsigned32	sync	impl	0,382	-0,019
dotnet_shift_right_by_15	signed32	signed32	sync	impl	0,676	-0,033
mul_by_32768	unsigned16	unsigned16	sync	impl	0,338	-0,019
mul_by_32768	unsigned32	unsigned32	sync	impl	0,388	-0,019
mul_by_32768	unsigned64	unsigned64	sync	impl	0,394	-0,135
mul_by_32768	signed32	signed32	sync	impl	0,388	-0,019
mul_by_32768	signed64	signed64	sync	impl	0,394	-0,135
div_by_32768	unsigned16	unsigned16	sync	impl	0,338	-0,019
div_by_32768	unsigned32	unsigned32	sync	impl	0,382	-0,019
div_by_32768	unsigned64	unsigned64	sync	impl	0,388	-0,019
div_by_32768	signed32	signed32	sync	impl	2,388	-0,090
div_by_32768	signed64	signed64	sync	impl	2,455	-0,074
dotnet_shift_left_by_16	unsigned64	unsigned64	sync	impl	0,388	-0,019
dotnet_shift_left_by_16	signed64	signed64	sync	impl	0,388	-0,019
dotnet_shift_right_by_16	unsigned64	unsigned64	sync	impl	0,388	-0,019
dotnet_shift_right_by_16	signed64	signed64	sync	impl	0,601	-0,044
dotnet_shift_left_by_16	unsigned32	unsigned32	sync	impl	0,388	-0,019
dotnet_shift_left_by_16	signed32	signed32	sync	impl	0,388	-0,019
dotnet_shift_right_by_16	unsigned32	unsigned32	sync	impl	0,375	-0,019
dotnet_shift_right_by_16	signed32	signed32	sync	impl	0,558	-0,033
mul_by_65536	unsigned32	unsigned32	sync	impl	0,388	-0,019
mul_by_65536	unsigned64	unsigned64	sync	impl	0,388	-0,019
mul_by_65536	signed32	signed32	sync	impl	0,388	-0,019
mul_by_65536	signed64	signed64	sync	impl	0,388	-0,019
div_by_65536	unsigned32	unsigned32	sync	impl	0,375	-0,019
div_by_65536	unsigned64	unsigned64	sync	impl	0,388	-0,019
div_by_65536	signed32	signed32	sync	impl	1,978	-0,092
div_by_65536	signed64	signed64	sync	impl	2,249	-0,085
dotnet_shift_left_by_17	unsigned64	unsigned64	sync	impl	0,388	-0,019
dotnet_shift_left_by_17	signed64	signed64	sync	impl	0,388	-0,019
dotnet_shift_right_by_17	unsigned64	unsigned64	sync	impl	0,388	-0,019
dotnet_shift_right_by_17	signed64	signed64	sync	impl	0,617	-0,124
dotnet_shift_left_by_17	unsigned32	unsigned32	sync	impl	0,388	-0,019
dotnet_shift_left_by_17	signed32	signed32	sync	impl	0,388	-0,019
dotnet_shift_right_by_17	unsigned32	unsigned32	sync	impl	0,368	-0,019
dotnet_shift_right_by_17	signed32	signed32	sync	impl	0,482	-0,047
mul_by_131072	unsigned32	unsigned32	sync	impl	0,388	-0,019
mul_by_131072	unsigned64	unsigned64	sync	impl	0,388	-0,019
mul_by_131072	signed32	signed32	sync	impl	0,388	-0,019
mul_by_131072	signed64	signed64	sync	impl	0,388	-0,019
div_by_131072	unsigned32	unsigned32	sync	impl	0,368	-0,019
div_by_131072	unsigned64	unsigned64	sync	impl	0,388	-0,019
div_by_131072	signed32	signed32	sync	impl	1,994	-0,092
div_by_131072	signed64	signed64	sync	impl	2,354	-0,076
dotnet_shift_left_by_18	unsigned64	unsigned64	sync	impl	0,483	-0,037
dotnet_shift_left_by_18	signed64	signed64	sync	impl	0,483	-0,037
dotnet_shift_right_by_18	unsigned64	unsigned64	sync	impl	0,388	-0,019
dotnet_shift_right_by_18	signed64	signed64	sync	impl	0,654	-0,124
dotnet_shift_left_by_18	unsigned32	unsigned32	sync	impl	0,388	-0,019
dotnet_shift_left_by_18	signed32	signed32	sync	impl	0,388	-0,019
dotnet_shift_right_by_18	unsigned32	unsigned32	sync	impl	0,388	-0,019
dotnet_shift_right_by_18	signed32	signed32	sync	impl	0,629	-0,029
mul_by_262144	unsigned32	unsigned32	sync	impl	0,388	-0,019
mul_by_262144	unsigned64	unsigned64	sync	impl	0,483	-0,037
mul_by_262144	signed32	signed32	sync	impl	0,388	-0,019
mul_by_262144	signed64	signed64	sync	impl	0,483	-0,037
div_by_262144	unsigned32	unsigned32	sync	impl	0,388	-0,019
div_by_262144	unsigned64	unsigned64	sync	impl	0,388	-0,019
div_by_262144	signed32	signed32	sync	impl	1,958	-0,100
div_by_262144	signed64	signed64	sync	impl	2,514	-0,077
dotnet_shift_left_by_19	unsigned64	unsigned64	sync	impl	0,406	-0,135
dotnet_shift_left_by_19	signed64	signed64	sync	impl	0,406	-0,135
