Op	InType	OutType	Template	DesignStat	DPD	TWDFR
mod	signed1	signed1	sync	impl	1,686	0,115
mod	unsigned8	unsigned8	sync	impl	9,569	0,054
mod	signed8	signed8	sync	impl	12,653	0,057
mod	unsigned16	unsigned16	sync	impl	21,725	0,080
mod	signed16	signed16	sync	impl	24,617	0,039
mod	unsigned32	unsigned32	sync	impl	51,130	0,070
mod	signed32	signed32	sync	impl	54,872	0,048
mod	unsigned64	unsigned64	sync	impl	133,750	0,087
mod	signed64	signed64	sync	impl	137,017	0,055
rem	unsigned1	unsigned1	sync	impl	1,780	0,118
rem	signed1	signed1	sync	impl	1,780	0,118
rem	unsigned8	unsigned8	sync	impl	9,741	0,050
rem	signed8	signed8	sync	impl	11,858	0,059
rem	unsigned16	unsigned16	sync	impl	21,778	0,050
rem	signed16	signed16	sync	impl	24,175	0,072
rem	unsigned32	unsigned32	sync	impl	51,186	0,069
rem	signed32	signed32	sync	impl	54,292	0,127
rem	unsigned64	unsigned64	sync	impl	131,430	0,065
rem	signed64	signed64	sync	synth
not	std_logic_vector1	std_logic_vector1	sync	impl	0,656	0,134
not	std_logic_vector8	std_logic_vector8	sync	impl	0,741	0,156
not	std_logic_vector16	std_logic_vector16	sync	impl	0,787	0,139
not	std_logic_vector32	std_logic_vector32	sync	impl	0,801	0,136
not	std_logic_vector64	std_logic_vector64	sync	impl	1,347	0,108
unary_minus	signed1	signed1	sync	impl	0,615	0,138
unary_minus	signed8	signed8	sync	impl	1,719	0,141
unary_minus	signed16	signed16	sync	impl	2,003	0,147
unary_minus	signed32	signed32	sync	impl	2,246	0,123
unary_minus	signed64	signed64	sync	impl	3,500	0,100
div	unsigned1	unsigned1	sync	impl	1,246	0,139
div	signed1	signed1	sync	impl	1,246	0,139
div	unsigned8	unsigned8	sync	impl	8,772	0,076
div	signed8	signed8	sync	impl	10,976	0,060
div	unsigned16	unsigned16	sync	impl	20,515	0,071
div	signed16	signed16	sync	impl	23,646	0,068
div	unsigned32	unsigned32	sync	impl	51,601	0,089
div	signed32	signed32	sync	impl	54,529	0,073
div	unsigned64	unsigned64	sync	impl	132,065	0,056
div	signed64	signed64	sync	impl	136,815	0,029
mul	unsigned1	unsigned1	sync	impl	1,552	-0,115
mul	signed1	signed1	sync	impl	1,552	-0,115
mul	unsigned8	unsigned8	sync	impl	1,552	-0,115
mul	signed8	signed8	sync	impl	1,552	-0,115
mul	unsigned16	unsigned16	sync	impl	1,625	-0,115
mul	signed16	signed16	sync	impl	1,625	-0,115
mul	unsigned32	unsigned32	sync	impl	2,548	-0,156
mul	signed32	signed32	sync	impl	2,548	-0,156
mul	unsigned64	unsigned64	sync	impl	5,469	-0,033
mul	signed64	signed64	sync	impl	5,640	0,019
dotnet_shift_left_by_0	unsigned64	unsigned64	sync	impl	1,085	0,120
dotnet_shift_left_by_0	signed64	signed64	sync	impl	1,085	0,120
