Op	InType	OutType	Template	DesignStat	DPD	TWDFR
dotnet_shift_left_by_15	signed32	signed32	sync	impl	1,238	-0,139
dotnet_shift_right_by_15	unsigned32	unsigned32	sync	impl	1,238	-0,139
dotnet_shift_right_by_15	signed32	signed32	sync	impl	1,896	-0,137
mul_by_32768	unsigned16	unsigned16	sync	impl	0,939	-0,129
mul_by_32768	unsigned32	unsigned32	sync	impl	1,238	-0,139
mul_by_32768	unsigned64	unsigned64	sync	impl	1,382	-0,199
mul_by_32768	signed32	signed32	sync	impl	1,238	-0,139
mul_by_32768	signed64	signed64	sync	impl	1,382	-0,199
div_by_32768	unsigned16	unsigned16	sync	impl	0,797	-0,128
div_by_32768	unsigned32	unsigned32	sync	impl	1,238	-0,139
div_by_32768	unsigned64	unsigned64	sync	impl	1,135	-0,213
div_by_32768	signed32	signed32	sync	impl	7,640	-0,207
div_by_32768	signed64	signed64	sync	impl	8,550	-0,141
dotnet_shift_left_by_16	unsigned64	unsigned64	sync	impl	1,135	-0,213
dotnet_shift_left_by_16	signed64	signed64	sync	impl	1,135	-0,213
dotnet_shift_right_by_16	unsigned64	unsigned64	sync	impl	1,135	-0,213
dotnet_shift_right_by_16	signed64	signed64	sync	impl	2,363	-0,140
dotnet_shift_left_by_16	unsigned32	unsigned32	sync	impl	1,238	-0,139
dotnet_shift_left_by_16	signed32	signed32	sync	impl	1,238	-0,139
dotnet_shift_right_by_16	unsigned32	unsigned32	sync	impl	1,238	-0,139
dotnet_shift_right_by_16	signed32	signed32	sync	impl	2,257	-0,130
mul_by_65536	unsigned32	unsigned32	sync	impl	1,238	-0,139
mul_by_65536	unsigned64	unsigned64	sync	impl	1,135	-0,213
mul_by_65536	signed32	signed32	sync	impl	1,238	-0,139
mul_by_65536	signed64	signed64	sync	impl	1,135	-0,213
div_by_65536	unsigned32	unsigned32	sync	impl	1,238	-0,139
div_by_65536	unsigned64	unsigned64	sync	impl	1,135	-0,213
div_by_65536	signed32	signed32	sync	impl	7,179	-0,249
div_by_65536	signed64	signed64	sync	impl	8,175	-0,311
dotnet_shift_left_by_17	unsigned64	unsigned64	sync	impl	1,140	-0,064
dotnet_shift_left_by_17	signed64	signed64	sync	impl	1,140	-0,064
dotnet_shift_right_by_17	unsigned64	unsigned64	sync	impl	1,135	-0,213
dotnet_shift_right_by_17	signed64	signed64	sync	impl	2,356	-0,139
dotnet_shift_left_by_17	unsigned32	unsigned32	sync	impl	1,238	-0,139
dotnet_shift_left_by_17	signed32	signed32	sync	impl	1,238	-0,139
dotnet_shift_right_by_17	unsigned32	unsigned32	sync	impl	1,238	-0,139
dotnet_shift_right_by_17	signed32	signed32	sync	impl	1,974	-0,131
mul_by_131072	unsigned32	unsigned32	sync	impl	1,238	-0,139
mul_by_131072	unsigned64	unsigned64	sync	impl	1,140	-0,064
mul_by_131072	signed32	signed32	sync	impl	1,238	-0,139
mul_by_131072	signed64	signed64	sync	impl	1,140	-0,064
div_by_131072	unsigned32	unsigned32	sync	impl	1,238	-0,139
div_by_131072	unsigned64	unsigned64	sync	impl	1,135	-0,213
div_by_131072	signed32	signed32	sync	impl	7,317	-0,223
div_by_131072	signed64	signed64	sync	impl	8,125	-0,125
dotnet_shift_left_by_18	unsigned64	unsigned64	sync	impl	1,162	-0,081
dotnet_shift_left_by_18	signed64	signed64	sync	impl	1,162	-0,081
dotnet_shift_right_by_18	unsigned64	unsigned64	sync	impl	1,135	-0,213
dotnet_shift_right_by_18	signed64	signed64	sync	impl	2,501	-0,143
dotnet_shift_left_by_18	unsigned32	unsigned32	sync	impl	1,221	-0,139
dotnet_shift_left_by_18	signed32	signed32	sync	impl	1,221	-0,139
dotnet_shift_right_by_18	unsigned32	unsigned32	sync	impl	1,298	-0,145
dotnet_shift_right_by_18	signed32	signed32	sync	impl	2,257	-0,129
mul_by_262144	unsigned32	unsigned32	sync	impl	1,221	-0,139
mul_by_262144	unsigned64	unsigned64	sync	impl	1,162	-0,081
mul_by_262144	signed32	signed32	sync	impl	1,221	-0,139
mul_by_262144	signed64	signed64	sync	impl	1,162	-0,081
div_by_262144	unsigned32	unsigned32	sync	impl	1,298	-0,145
div_by_262144	unsigned64	unsigned64	sync	impl	1,135	-0,213
div_by_262144	signed32	signed32	sync	impl	7,338	-0,204
div_by_262144	signed64	signed64	sync	impl	7,851	-0,134
dotnet_shift_left_by_19	unsigned64	unsigned64	sync	impl	1,382	-0,199
dotnet_shift_left_by_19	signed64	signed64	sync	impl	1,382	-0,199
dotnet_shift_right_by_19	unsigned64	unsigned64	sync	impl	1,135	-0,213
dotnet_shift_right_by_19	signed64	signed64	sync	impl	2,501	-0,143
dotnet_shift_left_by_19	unsigned32	unsigned32	sync	impl	1,221	-0,139
dotnet_shift_left_by_19	signed32	signed32	sync	impl	1,221	-0,139
dotnet_shift_right_by_19	unsigned32	unsigned32	sync	impl	1,221	-0,139
dotnet_shift_right_by_19	signed32	signed32	sync	impl	2,364	-0,140
mul_by_524288	unsigned32	unsigned32	sync	impl	1,221	-0,139
mul_by_524288	unsigned64	unsigned64	sync	impl	1,382	-0,199
mul_by_524288	signed32	signed32	sync	impl	1,221	-0,139
mul_by_524288	signed64	signed64	sync	impl	1,382	-0,199
div_by_524288	unsigned32	unsigned32	sync	impl	1,221	-0,139
div_by_524288	unsigned64	unsigned64	sync	impl	1,135	-0,213
div_by_524288	signed32	signed32	sync	impl	7,650	-0,217
div_by_524288	signed64	signed64	sync	impl	8,387	-0,179
dotnet_shift_left_by_20	unsigned64	unsigned64	sync	impl	1,135	-0,213
dotnet_shift_left_by_20	signed64	signed64	sync	impl	1,135	-0,213
dotnet_shift_right_by_20	unsigned64	unsigned64	sync	impl	1,135	-0,213
dotnet_shift_right_by_20	signed64	signed64	sync	impl	2,501	-0,143
dotnet_shift_left_by_20	unsigned32	unsigned32	sync	impl	1,221	-0,139
dotnet_shift_left_by_20	signed32	signed32	sync	impl	1,221	-0,139
dotnet_shift_right_by_20	unsigned32	unsigned32	sync	impl	1,221	-0,139
dotnet_shift_right_by_20	signed32	signed32	sync	impl	2,352	-0,140
mul_by_1048576	unsigned32	unsigned32	sync	impl	1,221	-0,139
mul_by_1048576	unsigned64	unsigned64	sync	impl	1,135	-0,213
mul_by_1048576	signed32	signed32	sync	impl	1,221	-0,139
mul_by_1048576	signed64	signed64	sync	impl	1,135	-0,213
div_by_1048576	unsigned32	unsigned32	sync	impl	1,221	-0,139
div_by_1048576	unsigned64	unsigned64	sync	impl	1,135	-0,213
div_by_1048576	signed32	signed32	sync	impl	7,197	-0,228
div_by_1048576	signed64	signed64	sync	impl	8,424	-0,127
dotnet_shift_left_by_21	unsigned64	unsigned64	sync	impl	1,142	-0,064
dotnet_shift_left_by_21	signed64	signed64	sync	impl	1,142	-0,064
dotnet_shift_right_by_21	unsigned64	unsigned64	sync	impl	1,135	-0,213
dotnet_shift_right_by_21	signed64	signed64	sync	impl	2,718	-0,150
dotnet_shift_left_by_21	unsigned32	unsigned32	sync	impl	1,221	-0,139
dotnet_shift_left_by_21	signed32	signed32	sync	impl	1,221	-0,139
dotnet_shift_right_by_21	unsigned32	unsigned32	sync	impl	1,221	-0,139
dotnet_shift_right_by_21	signed32	signed32	sync	impl	2,369	-0,146
mul_by_2097152	unsigned32	unsigned32	sync	impl	1,221	-0,139
mul_by_2097152	unsigned64	unsigned64	sync	impl	1,142	-0,064
mul_by_2097152	signed32	signed32	sync	impl	1,221	-0,139
mul_by_2097152	signed64	signed64	sync	impl	1,142	-0,064
div_by_2097152	unsigned32	unsigned32	sync	impl	1,221	-0,139
div_by_2097152	unsigned64	unsigned64	sync	impl	1,135	-0,213
div_by_2097152	signed32	signed32	sync	impl	6,707	-0,187
div_by_2097152	signed64	signed64	sync	impl	7,936	-0,317
dotnet_shift_left_by_22	unsigned64	unsigned64	sync	impl	1,128	-0,107
dotnet_shift_left_by_22	signed64	signed64	sync	impl	1,128	-0,107
dotnet_shift_right_by_22	unsigned64	unsigned64	sync	impl	1,135	-0,213
dotnet_shift_right_by_22	signed64	signed64	sync	impl	2,874	-0,138
dotnet_shift_left_by_22	unsigned32	unsigned32	sync	impl	1,238	-0,139
dotnet_shift_left_by_22	signed32	signed32	sync	impl	1,238	-0,139
dotnet_shift_right_by_22	unsigned32	unsigned32	sync	impl	1,221	-0,139
dotnet_shift_right_by_22	signed32	signed32	sync	impl	2,520	-0,148
mul_by_4194304	unsigned32	unsigned32	sync	impl	1,238	-0,139
mul_by_4194304	unsigned64	unsigned64	sync	impl	1,128	-0,107
mul_by_4194304	signed32	signed32	sync	impl	1,238	-0,139
mul_by_4194304	signed64	signed64	sync	impl	1,128	-0,107
div_by_4194304	unsigned32	unsigned32	sync	impl	1,221	-0,139
div_by_4194304	unsigned64	unsigned64	sync	impl	1,135	-0,213
div_by_4194304	signed32	signed32	sync	impl	7,215	-0,233
div_by_4194304	signed64	signed64	sync	impl	8,309	-0,198
dotnet_shift_left_by_23	unsigned64	unsigned64	sync	impl	1,382	-0,199
dotnet_shift_left_by_23	signed64	signed64	sync	impl	1,382	-0,199
dotnet_shift_right_by_23	unsigned64	unsigned64	sync	impl	1,135	-0,213
dotnet_shift_right_by_23	signed64	signed64	sync	impl	2,913	-0,155
dotnet_shift_left_by_23	unsigned32	unsigned32	sync	impl	1,238	-0,139
dotnet_shift_left_by_23	signed32	signed32	sync	impl	1,238	-0,139
dotnet_shift_right_by_23	unsigned32	unsigned32	sync	impl	1,238	-0,139
dotnet_shift_right_by_23	signed32	signed32	sync	impl	2,534	-0,151
mul_by_8388608	unsigned32	unsigned32	sync	impl	1,238	-0,139
mul_by_8388608	unsigned64	unsigned64	sync	impl	1,382	-0,199
mul_by_8388608	signed32	signed32	sync	impl	1,238	-0,139
mul_by_8388608	signed64	signed64	sync	impl	1,382	-0,199
div_by_8388608	unsigned32	unsigned32	sync	impl	1,238	-0,139
div_by_8388608	unsigned64	unsigned64	sync	impl	1,135	-0,213
div_by_8388608	signed32	signed32	sync	impl	6,791	-0,235
div_by_8388608	signed64	signed64	sync	impl	8,158	-0,110
dotnet_shift_left_by_24	unsigned64	unsigned64	sync	impl	1,409	-0,213
dotnet_shift_left_by_24	signed64	signed64	sync	impl	1,409	-0,213
dotnet_shift_right_by_24	unsigned64	unsigned64	sync	impl	1,135	-0,213
dotnet_shift_right_by_24	signed64	signed64	sync	impl	2,775	-0,155
dotnet_shift_left_by_24	unsigned32	unsigned32	sync	impl	1,221	-0,139
dotnet_shift_left_by_24	signed32	signed32	sync	impl	1,221	-0,139
dotnet_shift_right_by_24	unsigned32	unsigned32	sync	impl	1,221	-0,139
dotnet_shift_right_by_24	signed32	signed32	sync	impl	2,526	-0,155
mul_by_16777216	unsigned32	unsigned32	sync	impl	1,221	-0,139
mul_by_16777216	unsigned64	unsigned64	sync	impl	1,409	-0,213
mul_by_16777216	signed32	signed32	sync	impl	1,221	-0,139
mul_by_16777216	signed64	signed64	sync	impl	1,409	-0,213
div_by_16777216	unsigned32	unsigned32	sync	impl	1,221	-0,139
div_by_16777216	unsigned64	unsigned64	sync	impl	1,135	-0,213
div_by_16777216	signed32	signed32	sync	impl	6,478	-0,186
div_by_16777216	signed64	signed64	sync	impl	8,154	-0,332
dotnet_shift_left_by_25	unsigned64	unsigned64	sync	impl	1,100	-0,103
dotnet_shift_left_by_25	signed64	signed64	sync	impl	1,100	-0,103
dotnet_shift_right_by_25	unsigned64	unsigned64	sync	impl	1,135	-0,213
dotnet_shift_right_by_25	signed64	signed64	sync	impl	2,838	-0,154
dotnet_shift_left_by_25	unsigned32	unsigned32	sync	impl	1,238	-0,139
dotnet_shift_left_by_25	signed32	signed32	sync	impl	1,238	-0,139
dotnet_shift_right_by_25	unsigned32	unsigned32	sync	impl	1,238	-0,139
dotnet_shift_right_by_25	signed32	signed32	sync	impl	2,519	-0,159
mul_by_33554432	unsigned32	unsigned32	sync	impl	1,238	-0,139
mul_by_33554432	unsigned64	unsigned64	sync	impl	1,100	-0,103
mul_by_33554432	signed32	signed32	sync	impl	1,238	-0,139
mul_by_33554432	signed64	signed64	sync	impl	1,100	-0,103
div_by_33554432	unsigned32	unsigned32	sync	impl	1,238	-0,139
div_by_33554432	unsigned64	unsigned64	sync	impl	1,135	-0,213
div_by_33554432	signed32	signed32	sync	impl	7,086	-0,220
div_by_33554432	signed64	signed64	sync	impl	8,445	-0,202
dotnet_shift_left_by_26	unsigned64	unsigned64	sync	impl	1,134	-0,105
dotnet_shift_left_by_26	signed64	signed64	sync	impl	1,134	-0,105
dotnet_shift_right_by_26	unsigned64	unsigned64	sync	impl	1,135	-0,213
dotnet_shift_right_by_26	signed64	signed64	sync	impl	2,836	-0,153
dotnet_shift_left_by_26	unsigned32	unsigned32	sync	impl	1,070	-0,139
dotnet_shift_left_by_26	signed32	signed32	sync	impl	1,070	-0,139
dotnet_shift_right_by_26	unsigned32	unsigned32	sync	impl	1,070	-0,139
dotnet_shift_right_by_26	signed32	signed32	sync	impl	2,684	-0,161
mul_by_67108864	unsigned32	unsigned32	sync	impl	1,070	-0,139
mul_by_67108864	unsigned64	unsigned64	sync	impl	1,134	-0,105
mul_by_67108864	signed32	signed32	sync	impl	1,070	-0,139
mul_by_67108864	signed64	signed64	sync	impl	1,134	-0,105
div_by_67108864	unsigned32	unsigned32	sync	impl	1,070	-0,139
div_by_67108864	unsigned64	unsigned64	sync	impl	1,135	-0,213
div_by_67108864	signed32	signed32	sync	impl	7,030	-0,215
div_by_67108864	signed64	signed64	sync	impl	8,051	-0,210
dotnet_shift_left_by_27	unsigned64	unsigned64	sync	impl	1,440	-0,199
dotnet_shift_left_by_27	signed64	signed64	sync	impl	1,440	-0,199
dotnet_shift_right_by_27	unsigned64	unsigned64	sync	impl	1,135	-0,213
dotnet_shift_right_by_27	signed64	signed64	sync	impl	3,649	-0,061
dotnet_shift_left_by_27	unsigned32	unsigned32	sync	impl	1,070	-0,139
dotnet_shift_left_by_27	signed32	signed32	sync	impl	1,070	-0,139
dotnet_shift_right_by_27	unsigned32	unsigned32	sync	impl	1,070	-0,139
dotnet_shift_right_by_27	signed32	signed32	sync	impl	2,794	-0,141
mul_by_134217728	unsigned32	unsigned32	sync	impl	1,070	-0,139
mul_by_134217728	unsigned64	unsigned64	sync	impl	1,440	-0,199
mul_by_134217728	signed32	signed32	sync	impl	1,070	-0,139
mul_by_134217728	signed64	signed64	sync	impl	1,440	-0,199
div_by_134217728	unsigned32	unsigned32	sync	impl	1,070	-0,139
div_by_134217728	unsigned64	unsigned64	sync	impl	1,135	-0,213
div_by_134217728	signed32	signed32	sync	impl	6,507	-0,249
div_by_134217728	signed64	signed64	sync	impl	8,106	-0,234
dotnet_shift_left_by_28	unsigned64	unsigned64	sync	impl	1,226	-0,094
dotnet_shift_left_by_28	signed64	signed64	sync	impl	1,226	-0,094
dotnet_shift_right_by_28	unsigned64	unsigned64	sync	impl	1,238	-0,139
dotnet_shift_right_by_28	signed64	signed64	sync	impl	2,585	-0,142
dotnet_shift_left_by_28	unsigned32	unsigned32	sync	impl	1,085	-0,094
dotnet_shift_left_by_28	signed32	signed32	sync	impl	1,085	-0,094
dotnet_shift_right_by_28	unsigned32	unsigned32	sync	impl	1,238	-0,116
dotnet_shift_right_by_28	signed32	signed32	sync	impl	2,780	-0,141
mul_by_268435456	unsigned32	unsigned32	sync	impl	1,085	-0,094
mul_by_268435456	unsigned64	unsigned64	sync	impl	1,226	-0,094
mul_by_268435456	signed32	signed32	sync	impl	1,085	-0,094
mul_by_268435456	signed64	signed64	sync	impl	1,226	-0,094
div_by_268435456	unsigned32	unsigned32	sync	impl	1,238	-0,116
div_by_268435456	unsigned64	unsigned64	sync	impl	1,238	-0,139
div_by_268435456	signed32	signed32	sync	impl	6,200	-0,245
div_by_268435456	signed64	signed64	sync	impl	7,842	-0,237
dotnet_shift_left_by_29	unsigned64	unsigned64	sync	impl	1,221	-0,139
dotnet_shift_left_by_29	signed64	signed64	sync	impl	1,221	-0,139
dotnet_shift_right_by_29	unsigned64	unsigned64	sync	impl	1,221	-0,139
dotnet_shift_right_by_29	signed64	signed64	sync	impl	2,682	-0,143
dotnet_shift_left_by_29	unsigned32	unsigned32	sync	impl	1,070	-0,139
dotnet_shift_left_by_29	signed32	signed32	sync	impl	1,070	-0,139
dotnet_shift_right_by_29	unsigned32	unsigned32	sync	impl	1,070	-0,139
dotnet_shift_right_by_29	signed32	signed32	sync	impl	2,982	-0,169
mul_by_536870912	unsigned32	unsigned32	sync	impl	1,070	-0,139
mul_by_536870912	unsigned64	unsigned64	sync	impl	1,221	-0,139
mul_by_536870912	signed32	signed32	sync	impl	1,070	-0,139
mul_by_536870912	signed64	signed64	sync	impl	1,221	-0,139
div_by_536870912	unsigned32	unsigned32	sync	impl	1,070	-0,139
div_by_536870912	unsigned64	unsigned64	sync	impl	1,221	-0,139
div_by_536870912	signed32	signed32	sync	impl	7,254	-0,221
div_by_536870912	signed64	signed64	sync	impl	7,917	-0,200
dotnet_shift_left_by_30	unsigned64	unsigned64	sync	impl	1,221	-0,139
dotnet_shift_left_by_30	signed64	signed64	sync	impl	1,221	-0,139
dotnet_shift_right_by_30	unsigned64	unsigned64	sync	impl	1,238	-0,138
dotnet_shift_right_by_30	signed64	signed64	sync	impl	2,723	-0,148
dotnet_shift_left_by_30	unsigned32	unsigned32	sync	impl	1,242	-0,117
dotnet_shift_left_by_30	signed32	signed32	sync	impl	1,242	-0,117
dotnet_shift_right_by_30	unsigned32	unsigned32	sync	impl	1,085	-0,094
dotnet_shift_right_by_30	signed32	signed32	sync	impl	2,892	-0,148
mul_by_1073741824	unsigned32	unsigned32	sync	impl	1,242	-0,117
mul_by_1073741824	unsigned64	unsigned64	sync	impl	1,221	-0,139
mul_by_1073741824	signed32	signed32	sync	impl	1,242	-0,117
mul_by_1073741824	signed64	signed64	sync	impl	1,221	-0,139
div_by_1073741824	unsigned32	unsigned32	sync	impl	1,085	-0,094
div_by_1073741824	unsigned64	unsigned64	sync	impl	1,238	-0,138
div_by_1073741824	signed32	signed32	sync	impl	7,364	-0,250
div_by_1073741824	signed64	signed64	sync	impl	7,836	-0,171
dotnet_shift_left_by_31	unsigned64	unsigned64	sync	impl	1,298	-0,144
dotnet_shift_left_by_31	signed64	signed64	sync	impl	1,298	-0,144
dotnet_shift_right_by_31	unsigned64	unsigned64	sync	impl	1,221	-0,139
dotnet_shift_right_by_31	signed64	signed64	sync	impl	3,140	-0,151
dotnet_shift_left_by_31	unsigned32	unsigned32	sync	impl	0,980	-0,117
dotnet_shift_left_by_31	signed32	signed32	sync	impl	0,980	-0,117
dotnet_shift_right_by_31	unsigned32	unsigned32	sync	impl	0,797	-0,128
dotnet_shift_right_by_31	signed32	signed32	sync	impl	3,118	-0,176
mul_by_2147483648	unsigned32	unsigned32	sync	impl	0,980	-0,117
mul_by_2147483648	unsigned64	unsigned64	sync	impl	1,298	-0,144
mul_by_2147483648	signed64	signed64	sync	impl	1,298	-0,144
div_by_2147483648	unsigned32	unsigned32	sync	impl	0,797	-0,128
div_by_2147483648	unsigned64	unsigned64	sync	impl	1,221	-0,139
div_by_2147483648	signed64	signed64	sync	impl	8,108	-0,234
dotnet_shift_left_by_32	unsigned64	unsigned64	sync	impl	1,071	-0,139
dotnet_shift_left_by_32	signed64	signed64	sync	impl	1,071	-0,139
dotnet_shift_right_by_32	unsigned64	unsigned64	sync	impl	1,238	-0,139
dotnet_shift_right_by_32	signed64	signed64	sync	impl	2,720	-0,150
mul_by_4294967296	unsigned64	unsigned64	sync	impl	1,071	-0,139
mul_by_4294967296	signed64	signed64	sync	impl	1,071	-0,139
div_by_4294967296	unsigned64	unsigned64	sync	impl	1,238	-0,139
div_by_4294967296	signed64	signed64	sync	impl	7,901	-0,169
dotnet_shift_left_by_33	unsigned64	unsigned64	sync	impl	1,221	-0,139
dotnet_shift_left_by_33	signed64	signed64	sync	impl	1,221	-0,139
dotnet_shift_right_by_33	unsigned64	unsigned64	sync	impl	1,238	-0,139
dotnet_shift_right_by_33	signed64	signed64	sync	impl	2,013	-0,145
mul_by_8589934592	unsigned64	unsigned64	sync	impl	1,221	-0,139
mul_by_8589934592	signed64	signed64	sync	impl	1,221	-0,139
div_by_8589934592	unsigned64	unsigned64	sync	impl	1,238	-0,139
div_by_8589934592	signed64	signed64	sync	impl	7,809	-0,172
dotnet_shift_left_by_34	unsigned64	unsigned64	sync	impl	1,238	-0,139
dotnet_shift_left_by_34	signed64	signed64	sync	impl	1,238	-0,139
dotnet_shift_right_by_34	unsigned64	unsigned64	sync	impl	1,238	-0,139
dotnet_shift_right_by_34	signed64	signed64	sync	impl	3,019	-0,150
mul_by_17179869184	unsigned64	unsigned64	sync	impl	1,238	-0,139
mul_by_17179869184	signed64	signed64	sync	impl	1,238	-0,139
div_by_17179869184	unsigned64	unsigned64	sync	impl	1,238	-0,139
div_by_17179869184	signed64	signed64	sync	impl	8,091	-0,195
dotnet_shift_left_by_35	unsigned64	unsigned64	sync	impl	1,221	-0,139
dotnet_shift_left_by_35	signed64	signed64	sync	impl	1,221	-0,139
dotnet_shift_right_by_35	unsigned64	unsigned64	sync	impl	1,221	-0,139
dotnet_shift_right_by_35	signed64	signed64	sync	impl	3,126	-0,154
mul_by_34359738368	unsigned64	unsigned64	sync	impl	1,221	-0,139
mul_by_34359738368	signed64	signed64	sync	impl	1,221	-0,139
